SID,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AB-05DA010,0.3940095365662037,0.0904768564814814,0.1487384877804834,0.1521435855446428,0.1150313554404761,0.1913556566659226,0.100634210743421,0.2042402005098039,0.1364907416003086,0.1500977076962081,0.153811426227619,0.1972391209374416,0.1901896920753119,0.137673956265625,0.1398524975083333,0.1269996239616402,0.166492104994152,0.2540484731248298,0.1575861181187691,0.0925307329014477,0.1968111088518518,0.1459049782525252,0.1682988884722222,0.2277444457847222,0.2037904791054421,0.1548898098055555,0.1726087587612583,0.1878141303055555,0.3276521325470085,0.1676230486127819,0.1086255549555555,0.1705263193561403,0.1337576398768518,0.2076880213376068,0.1717932819653679,0.1242815504928571,0.1775070499423077,0.0948527372831767,,0.1387148486892856,0.1353610744347319,,
AB-06AD006,3.5985913390873026,2.887794722319024,1.828690464285714,1.0652314493055557,1.2325309005411256,1.7689082198328878,1.9117222,1.2419600197043892,2.837388958333334,1.3722594175189395,0.7677369903138527,1.545767868571429,0.7547371441666667,0.2686507771667222,1.103626468675595,2.824621745555556,0.7630238392857144,3.4528911832482985,12.219621994838493,1.197214191797488,0.6449166776666668,0.6107462972481222,1.1896451576923075,1.1523884204365078,1.5417060461969698,1.7653880814136844,2.534666682291667,1.3874941668136251,2.0828353440782825,1.7312700207611835,1.183277914761905,1.1993387926946817,2.199546338425926,0.8759428533670034,4.1584206749206345,1.7795186792328044,0.7872641114591292,0.869682167494658,3.737853498196248,3.1905906333333336,3.1379563719019608,11.69333356202381,
AB-07AA001,3.473728736231956,2.642797695039683,1.960717620367378,4.230883619871795,1.916469240570175,3.8886573771164015,2.900559249309665,3.4498888815925923,3.078180535833334,2.331440480434704,3.0137169849206344,2.9182126071428574,4.092349134145021,3.1437961569444446,3.109666702222222,2.3577736550396824,3.4755563295315794,2.7894559544005104,3.754771907017544,1.9346022033939396,3.2225246282098765,2.0395415929590017,3.438081942301587,2.6724593722539685,3.5633080666806727,3.030367676264881,2.61838611425,2.3966666282913165,2.837712446405229,2.2655776415719697,2.720056371795635,2.672466119034091,3.628394301177249,5.274372660196078,2.486642624880952,2.2750692991855206,2.635315488297619,,,2.220868290819661,3.163623837095238,,
AB-07AA002,17.842590254256855,11.814275391676505,12.787370623485184,16.782839456635802,17.053320108994708,28.087946407738094,13.025117586862743,21.76682544259259,16.38742705528422,16.124074016137563,17.78307824319728,17.959838296593134,24.570393030008454,16.018343184722223,14.447222222222225,14.465504842217811,17.46433983820346,17.214936621683968,19.9709167,10.54264507422402,25.09371516925634,14.100585246626984,16.45262664323507,18.946153945054945,16.431607092857142,16.620252117086835,14.919181604910714,16.517729526785715,16.799059872649572,16.314380955952384,13.895952345238095,13.313395761841102,20.00715885194932,26.46568135951417,14.254365073809526,15.30711775914787,17.26153394982699,11.76142845703463,,11.67746034986772,16.521637426900583,20.4592063,
AB-07AG003,1.307252684052682,4.377967951485714,0.6380284624991581,3.577574861686508,0.8013352137634787,1.1485274873131612,1.163979134409722,6.995425948439154,0.5603320819318182,0.8259607373886854,4.494452480015872,4.799021562841271,3.116890755509779,0.4116996891165224,0.9680571768767507,1.572389711973545,3.935705614415584,1.149818454047619,2.984050805313853,1.3425515494270832,3.939779094507576,2.0168946720779224,5.03718596416158,0.7449900192370129,1.4870544730128203,1.099845278207283,3.0189457947777774,0.5967025907452803,2.2460719555492425,1.3648978097575757,1.203898286504329,1.6112807814536825,,,,0.8568097211990231,,,,2.4509211737487315,6.595365802159866,,
AB-07BB002,2.851312523795351,20.5899962622449,4.397946616369741,13.937833385353532,6.563421745580808,5.047406804495614,5.261895796717171,9.990622211227514,2.829594126068376,3.876136362738096,16.7548611875,22.990425926098904,9.682235589130434,1.184353092579365,3.2787973666479924,7.522877265021645,15.03030290151515,7.508227606732804,11.05848518786862,6.91043380569728,15.099404909920636,6.730661873657408,12.615342865714286,2.660775324944445,5.236810167175926,4.611667768730159,12.47722218979798,5.050066803174603,5.968362334333733,9.934499908333336,4.157993057048611,5.269829275283883,17.427010461992946,12.167749833333334,10.475173102056276,5.048342068344156,2.602079008934837,,,7.356567391847041,13.714843666129422,,
AB-07BJ001,21.976164323111107,4.965340991378787,4.439375863576388,10.806522232707572,33.77591676785715,9.197010578819445,9.007209084164778,9.86305756751253,4.732173084429327,26.039894325009023,12.5401460201918,5.026736178368055,7.843167310483024,4.794676262984126,12.255175374649122,10.404520022418833,6.222786386718751,25.20219453097222,8.181291430046295,2.676662020763306,2.514563203167067,6.265873029045583,14.425281285337473,1.9324367489563492,11.097633827580148,11.04939173846183,7.824881100678573,3.8822418999410777,19.140558406153367,11.821859340735928,3.945273817638889,7.580231907096353,38.9503937621212,12.014531664126984,15.76882932162698,5.637851413249301,1.645017804885621,14.681231610601852,,14.890789920873017,,,
AB-07CD001,15.04793034858388,9.20215914090909,5.421244690746753,9.168333438888888,6.0302579424603175,8.201317751909292,12.14758065591398,12.327777944444444,6.544827551724138,8.831737405106969,10.236666690740742,10.777023792857143,11.046839097701149,4.641746002380953,4.475827367612293,11.1510989010989,17.08373008531746,11.643304594565098,18.892261904761902,6.901666516666666,2.307804214285714,3.610203441765873,8.45436507936508,6.813610880555555,7.417216092114903,9.061737029058442,16.88897760280112,9.5645238,17.14696956060606,14.935119119047618,13.002476194920636,6.048887924823349,6.491296081300813,10.299837662337664,41.8380953452381,20.287499979166668,4.770721013653014,9.329643163476106,7.782947731037869,13.76716833890747,6.655144468450904,18.683412692857143,
AB-07GG001,8.315990822545453,4.408373763119048,1.8994481673906929,6.078507922996032,5.549328548558941,3.980485390415252,1.4132948495054949,2.461131936157408,1.694008240558608,3.687398073469388,6.84075990659148,4.919596980281384,5.363998409833334,0.8795391928202381,1.197994776796875,3.1204329512774724,1.8642298497567888,5.991709407649574,6.757555997310607,0.5767315746991343,1.44427778,1.520732166607143,4.750739422839505,1.2419498086737213,2.9340873875000004,4.454483070846354,1.5884960267857142,0.982363248831746,9.537651498484848,1.765373612625,1.795728000642857,0.3438698669962797,15.245077330267858,4.539680394713152,2.7552368947017545,1.9152722584444444,,,,2.7093938692244897,3.0680243400140057,,
AK-15024800,294.40038777089785,270.9800308123249,338.3012441589321,266.13216946778715,176.94002261904762,189.8473221801347,191.4487343073593,239.64400694444444,250.8162367724868,217.9549396480712,254.19503921568625,233.5086797296271,241.9917403429904,221.63378851540617,309.4743681572352,278.56296428571426,180.72255316442812,173.09895821662,224.87584285714289,213.6481059351277,239.73892475649345,260.56941290726814,218.5840341269841,247.98181277056275,263.26337037037035,288.9544635126778,220.05642512077296,242.0556420289855,209.52147979797977,208.1853431372549,240.94842718392712,179.2925379420774,292.28268877551017,230.60045764411024,223.6976274509804,330.5983011204482,294.9139863597613,172.24797929606626,202.8136706487957,149.16708702672986,211.8436286848073,242.8960265643447,
AK-15052500,9.67146347826087,11.160787232142855,13.435803252164504,8.603114242424242,9.50009320910973,8.539074772727274,5.304067306349207,7.977283347268673,9.286474505772006,7.842355357575757,9.457809464285717,14.306995822222223,11.7020018707483,9.201305339285714,9.741461795608547,,,,10.219479155844155,9.119473367604616,8.562260744871072,10.359169160272808,7.6108404607297455,15.30415742403628,8.801197666009204,8.824732808369408,11.646319826839823,11.92380837121212,8.162424908424908,10.0962794883904,10.658355445761968,7.094604982222222,12.437001,9.87301021904762,11.449117785794453,16.03618249368687,16.537953278061224,13.1199323202886,12.80961116091954,12.447514463126158,11.619029653978206,12.783099170918366,12.690232095238096
AK-15072000,3.4111880604514533,5.090024523809523,4.359159055555555,2.7168601936507937,3.585447864583333,3.2399240561224496,3.1097836825396827,3.5312683486943155,4.4140756547619056,3.9980656547619047,3.629130320512821,3.606763535353535,3.8998912823035554,3.872907407407407,4.590871640654666,2.883983760262726,3.048132731481481,2.360545275899314,4.2462560230654764,2.212925238095238,2.520629239177489,3.929823489583333,2.8493414313081558,3.156031160714285,3.664871898809524,4.075856696900983,4.342755232121212,2.7779427803379417,3.1636849149659865,3.0037923214285707,2.834712174603175,3.899199354413701,4.199292735653236,2.578917838827839,3.217520167124542,4.27558814484127,4.052294968253968,2.7038563596938774,3.074676459435626,1.5625005144557824,2.708596960479176,4.107661624579125,3.9180148010752687
AK-15085100,0.8333245307017544,1.2514784074074077,0.9425055102040816,0.5523183105769232,0.6417496666666667,1.0327184545454544,0.6386262386621315,1.1067274418604651,0.9542851023391812,0.9741437551020408,0.842529700854701,1.4083853429232802,1.4252162481684985,1.1967469696969697,1.5277361944444443,0.8980287673611111,1.1871365921052632,0.6908191359649123,1.1569571879432623,1.0028876818181818,1.4826452748538013,1.162991387755102,1.2011661433333334,0.8732977357723576,1.3536160345528456,0.9470076166666666,0.8970150249433108,0.88822410106383,0.9930202419871794,0.9902834825396823,1.2477753,1.725357738636364,1.0556391319444445,0.8039363514492753,0.6903436865079365,1.363940873931624,1.1700531018939395,0.9453636937984494,0.5484390799319728,,,,
AK-15129500,,,,,,,,,,,2.8412939664502166,2.562218396464647,2.9465888535353533,2.3783993809523807,2.1499079347826084,2.4839354714285715,2.5624976190476185,1.7483209375000002,3.18025581632653,1.7478028243616288,4.573739415584416,3.25115731884058,2.1980513247863254,2.984919448621554,1.7741550753968256,3.879700096190476,3.004890747126437,3.808778777056277,2.379774070593149,2.5080049583333333,3.838535334448161,1.4137923260073262,3.0307662642857145,1.3674947403776323,3.255373456790124,5.085807599206349,3.4437212637362644,2.214158309523809,4.280209916666667,3.8616808944099374,3.00167809090909,,
AK-15239050,,0.8834564912280701,0.5044958385093168,0.5189036059379216,0.2899924583333333,0.4388118464052288,0.5198175444444444,1.0406677614379083,0.5708553921568627,0.4385083480944712,0.44218268707483,0.3870199785177228,0.4869781225296443,0.5438281985294118,0.625231065759637,0.5185570714285713,0.5401338,0.2726522108843537,0.5793737152777778,0.7024123417366946,0.7177317976190476,0.4608431578947369,0.4910943684210526,1.0054693696581196,0.7211850714285714,0.6445675893886966,0.3389738437830688,0.5811777368421053,0.376994963768116,0.774635493197279,0.8118700285409036,0.8573245029239767,0.565709552631579,0.9680150272366524,0.5164749999999999,0.2846754020798042,0.1757675659722222,0.4633263748917749,0.3616086098484848,0.4476891131687243,0.4270315801282051,,
AK-15258000,11.269921221322535,10.97306685219542,10.840352695637694,9.431727208745132,5.867533333333334,8.536240240822863,7.350432090077409,12.007139938186812,6.507994276895943,6.121176677489178,11.26270637254902,6.407165371343633,6.781809456699347,6.611873190301764,7.853610791441414,6.044949501818272,18.04867270299145,7.968808333333333,9.60129558264652,10.704980529914527,7.523056636315163,4.9471675462962965,11.662912250148771,14.330204643553325,9.860439387304904,6.714975910545095,6.502141308170996,10.461271875,5.85379414597748,5.4152532237772375,10.585421279761905,8.656698900027846,13.042878480984037,13.044156060606056,11.406378157644824,6.125265476190476,8.39069732142857,7.174332565284177,9.90234551442308,9.649911263736264,10.127845310981536,7.432119047619047,6.32172120593692
AK-15266300,14.354273707773707,16.19497528467909,13.118792637917638,15.216949305555556,8.713525079365075,11.177511450501251,14.825579124579122,12.618178273809525,9.81841547619048,8.458334355459355,18.19757380952381,9.906203953953955,8.844741183574879,9.99629058857809,11.49905365079365,7.925283446712016,29.199259279609272,5.967012121212121,15.468783348121857,9.11292811594203,10.334606766917291,6.943619483690912,10.242169433403475,27.89329178004536,12.079398815470244,13.26570585714286,7.333849759615384,12.049639455782312,8.353531974969474,9.614281818181816,20.49900533234127,8.413977435463472,9.715547222222224,16.49929416049067,13.760017424242422,10.432009752747252,9.11962667062667,10.204098687770562,8.92576855199593,15.313764871975568,10.996080847953218,13.842245745920746,
AK-15290000,2.1470572199730094,4.349622966269841,2.9986822689075634,3.194632023809523,2.3265248395721927,1.9536756200396823,3.597055777777777,2.888691692131398,1.8308814770723103,1.2645130654761905,1.2243462191358023,3.514149908424909,1.3266422932330826,0.6271926244588742,1.7272642962962963,1.7592043650793647,1.6256103968253968,0.9953008928571428,1.7349929595959597,2.091765863095238,1.5317059486016629,2.169347598039216,1.1516500978535351,2.272254166666667,1.8393843954248368,1.7314801513605438,3.2801131125356124,3.655464795918367,2.278891892361111,1.2582373504273507,1.4267398582010584,1.3604206410018551,1.419928202020202,4.140228234126984,2.4339200308463464,1.4097121266233763,2.103505309523809,2.111117111111112,0.979194292929293,2.8256308771929826,1.252271324675325,2.005591885663356,
