,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AB-07AA001,43.44333333333332,32.903333333333336,25.813333333333336,54.839999999999996,27.160000000000004,44.78333333333334,32.260000000000005,52.58333333333333,40.199999999999996,33.53333333333334,46.62333333333333,53.09666666666667,50.33333333333333,45.20333333333335,25.526666666666667,41.07666666666667,36.336666666666666,47.313333333333325,54.46666666666666,20.263333333333335,49.59666666666668,41.11333333333334,29.476666666666667,56.830000000000005,42.313333333333325,37.92999999999999,33.306666666666665,32.849999999999994,57.300000000000004,36.46333333333334,38.46333333333334,35.48,46.88,74.04333333333332,39.419999999999995,40.84333333333334,36.779999999999994,,,
AB-07AA002,216.0,211.16666666666666,153.58333333333334,304.23333333333335,209.4,254.39,175.9,321.2,250.43333333333334,219.29333333333335,253.86666666666667,277.56666666666666,269.9,293.6,175.63333333333333,219.0,252.8,228.93333333333334,290.46666666666664,175.76666666666668,229.32000000000002,185.12666666666667,166.5,332.03333333333336,282.26666666666665,215.84333333333333,220.23333333333332,229.03333333333333,305.26666666666665,211.76666666666668,208.53333333333333,184.09666666666666,251.7,365.8333333333333,259.03333333333336,232.3,294.1666666666667,175.66333333333333,,197.5
AB-07CD001,273.93333333333334,100.83666666666666,107.15,134.37333333333333,133.23333333333332,214.06666666666666,182.0,126.63333333333334,154.66666666666666,139.3,195.6,199.66666666666666,254.03333333333333,138.9,78.47,204.46666666666667,108.81,228.5,266.1666666666667,82.20666666666669,85.35666666666667,119.88666666666667,135.83333333333334,79.44333333333333,184.53333333333333,312.46666666666664,286.76666666666665,177.23333333333332,138.93333333333334,166.66666666666666,231.23333333333332,158.9,117.76666666666667,145.33333333333334,524.6666666666666,431.76666666666665,87.75333333333333,208.46666666666667,233.63333333333333,163.83333333333334
AB-07GG001,28.905000000000012,23.127333333333333,9.859666666666666,3.7969999999999993,14.809333333333333,9.279666666666666,4.018333333333333,6.096666666666666,1.958666666666667,13.505666666666666,9.585,26.499,3.1483333333333325,4.8020000000000005,5.131333333333333,9.718666666666667,5.126333333333333,35.64766666666666,17.129666666666665,4.04,2.132,5.826666666666665,7.317333333333335,4.0249999999999995,12.995000000000001,11.551,9.955333333333332,6.356333333333335,9.873000000000001,5.624333333333333,2.1403333333333334,2.7573333333333334,32.196333333333335,8.81466666666667,29.140666666666668,3.0693333333333324,,,,
AK-15072000,472.53333333333336,249.43333333333334,325.43333333333334,495.9,249.06666666666666,480.23333333333335,452.03333333333336,398.06666666666666,640.9333333333333,544.5,301.3,395.93333333333334,410.03333333333336,414.6666666666667,167.53333333333333,356.46666666666664,330.9,351.73333333333335,511.2,142.5,693.2,520.5333333333333,528.2,649.7333333333333,333.6333333333333,230.23333333333332,90.16666666666666,424.6,496.73333333333335,578.1,473.6666666666667,406.3,376.73333333333335,677.0,367.4,254.0,178.40999999999997,279.6333333333333,364.43333333333334,289.1
AK-15085100,15.796666666666665,10.353333333333335,15.979999999999999,27.266666666666666,17.029999999999998,28.333333333333332,20.766666666666666,13.213333333333335,34.63333333333333,33.016666666666666,15.796666666666665,6.539999999999998,12.953333333333331,11.429999999999996,8.18666666666667,28.353333333333335,17.613333333333333,43.72,35.333333333333336,6.966666666666669,48.666666666666664,21.6,26.433333333333334,21.285,31.12066666666667,13.362666666666664,5.127000000000001,20.734666666666676,27.71,33.29333333333334,23.87666666666667,26.65333333333333,15.569666666666665,38.936666666666675,16.393333333333334,22.08566666666667,4.514666666666667,9.546333333333337,42.89,
AK-15129500,,,,,,,,,,,266.56666666666666,236.8,344.8666666666667,322.1666666666667,126.93333333333334,235.73333333333332,279.06666666666666,152.0,199.73333333333332,217.36666666666667,262.1,202.36666666666667,171.8,237.9,175.16666666666666,169.76666666666668,115.81666666666668,176.6,191.03333333333333,197.56666666666666,184.33333333333334,160.73333333333332,160.53333333333333,370.46666666666664,246.73333333333332,200.66666666666666,260.03333333333336,193.2,245.83333333333334,190.9
AK-15239050,,84.5,91.83333333333333,67.23333333333333,90.96666666666667,84.5,44.733333333333334,95.56666666666666,79.5,84.6,91.06666666666666,102.3,90.0,112.33333333333333,134.03333333333333,101.8,75.66666666666667,73.0,125.56666666666666,162.03333333333333,105.56666666666666,80.8,117.43333333333334,104.36333333333333,126.14,207.82000000000002,118.36333333333333,104.42333333333335,100.08999999999999,41.03333333333333,101.91,134.61666666666667,77.12666666666668,109.38000000000001,132.03333333333333,86.98666666666668,88.11333333333333,122.98333333333333,55.423333333333325,98.86333333333333
AK-15266300,7338.333333333333,12570.0,11361.333333333334,6580.666666666667,8947.666666666666,7397.333333333333,6842.0,8173.333333333333,8235.666666666666,11368.333333333334,6547.333333333333,12328.333333333334,7092.0,11124.333333333334,10268.0,8826.0,10304.0,5624.666666666667,7439.0,11574.666666666666,8932.666666666666,8293.333333333334,11219.0,11218.666666666666,8970.666666666666,12780.0,11241.666666666666,10563.333333333334,8912.333333333334,8112.333333333333,8416.0,10158.666666666666,7203.666666666667,9440.666666666666,12121.666666666666,8330.0,10559.666666666666,13736.666666666666,7685.0,10766.333333333334
AK-15290000,928.0333333333333,862.9666666666667,312.6,868.4333333333333,738.1666666666666,702.9,748.1,380.93333333333334,447.6666666666667,563.3,624.7,721.5,674.6666666666666,540.1333333333333,596.8333333333334,1005.7666666666667,626.4333333333333,275.5,540.3333333333334,574.8666666666667,560.0333333333333,849.9,806.6666666666666,410.6,585.3666666666667,415.8666666666667,1180.3,480.6666666666667,574.2666666666667,778.3,688.5666666666667,319.8666666666667,,,,,,,357.96666666666664,971.7333333333333
