SID,Region
NT-10MC002,Northwest
NT-10ND002,Northwest
NV-10244950,Southwest
NV-10249300,Southwest
NV-10301500,CPMW
NV-10310500,CPMW
NV-10312000,CPMW
NV-10316500,Southwest
NV-10322500,Southwest
NV-10329500,Southwest
NV-10352500,Southwest
NV-13161500,Southwest
OR-10396000,Southwest
OR-11501000,CPMW
OR-13331500,USRM
OR-14020000,USRM
OR-14034500,USRM
OR-14044000,USRM
OR-14046500,USRM
OR-14048000,USRM
OR-14092750,CPNW
OR-14096850,CPNW
OR-14105700,CPNW
OR-14137000,CPNW
OR-14138800,CPNW
OR-14138870,CPNW
OR-14138900,CPNW
OR-14139800,CPNW
OR-14141500,CPNW
OR-14154500,CPMW
OR-14158500,CPNW
OR-14158790,CPNW
OR-14166500,CPNW
OR-14178000,CPNW
OR-14179000,CPNW
OR-14182500,CPNW
OR-14185000,CPNW
OR-14185900,CPNW
OR-14187000,CPNW
OR-14190500,CPNW
OR-14191000,CPNW
OR-14301000,CPNW
OR-14301500,CPNW
OR-14303200,CPNW
OR-14305500,CPNW
OR-14306340,CPNW
OR-14306500,CPNW
OR-14307620,CPNW
OR-14308000,CPMW
OR-14308990,CPMW
OR-14309500,CPMW
OR-14316700,CPMW
OR-14318000,CPMW
OR-14321000,CPMW
OR-14325000,CPMW
OR-14338000,CPMW
OR-14359000,CPMW
OR-14362000,CPMW
OR-14362250,CPMW
OR-14377100,CPMW
OR-14400000,CPMW
UT-09180500,Southwest
UT-09183500,Southwest
UT-09299500,Southwest
UT-09310500,Southwest
UT-09312600,Southwest
UT-09315000,Southwest
UT-09330500,Southwest
UT-09378170,Southwest
UT-09378630,Southwest
UT-09379500,Southwest
UT-09404450,Southwest
UT-09408400,Southwest
UT-10023000,USRM
UT-10113500,USRM
UT-10128500,Southwest
UT-10131000,Southwest
UT-10166430,Southwest
UT-10172200,Southwest
UT-10172700,Southwest
UT-10172800,Southwest
UT-10172870,Southwest
UT-10173450,Southwest
UT-10174500,Southwest
UT-10205030,Southwest
UT-10234500,Southwest
UT-10242000,Southwest
WA-12013500,CPNW
WA-12020000,CPNW
WA-12025000,CPNW
WA-12025700,CPNW
WA-12027500,CPNW
WA-12035000,CPNW
WA-12039500,CPNW
WA-12040500,CPNW
WA-12041200,CPNW
WA-12043000,CPNW
WA-12048000,CPNW
WA-12054000,CPNW
WA-12056500,CPNW
WA-12073500,CPNW
WA-12082500,CPNW
WA-12092000,CPNW
WA-12095000,CPNW
WA-12114500,CPNW
WA-12115000,CPNW
WA-12115500,CPNW
WA-12117000,CPNW
WA-12134500,CPNW
WA-12141300,CPNW
WA-12143600,CPNW
WA-12144000,CPNW
WA-12144500,CPNW
WA-12145500,CPNW
WA-12147500,CPNW
WA-12147600,CPNW
WA-12167000,CPNW
WA-12175500,CPNW
WA-12178100,CPNW
WA-12186000,CPNW
WA-12189500,CPNW
WA-12401500,USRM
WA-12404500,USRM
WA-12409000,USRM
WA-12422500,USRM
WA-12424000,USRM
WA-12431000,USRM
WA-12442500,CPNW
WA-12445000,CPNW
WA-12447200,CPNW
WA-12447390,CPNW
WA-12449950,CPNW
WA-12451000,CPNW
WA-12452800,CPNW
WA-12457000,CPNW
WA-12459000,CPNW
WA-12462500,CPNW
WA-12465000,USRM
WA-12488500,CPNW
WA-13351000,USRM
WA-14113000,CPNW
WA-14216500,CPNW
WA-14222500,CPNW
WA-14236200,CPNW
WY-06186500,USRM
WY-06188000,USRM
WY-06218500,USRM
WY-06221400,USRM
WY-06224000,USRM
WY-06278300,USRM
WY-06280300,USRM
WY-06298000,USRM
WY-06309200,USRM
WY-06311000,USRM
WY-06622700,USRM
WY-06623800,USRM
WY-06630000,USRM
WY-06632400,USRM
WY-06635000,USRM
WY-09188500,USRM
WY-09196500,USRM
WY-09210500,USRM
WY-09223000,USRM
WY-10032000,USRM
WY-13010065,USRM
WY-13011500,USRM
WY-13011900,USRM
WY-13018300,USRM
WY-13023000,USRM
YT-08AA009,Northwest
YT-08AC001,Northwest
YT-09AA012,Northwest
YT-09AC001,Northwest
YT-09AH004,Northwest
YT-09BC001,Northwest
YT-09CB001,Northwest
YT-09EA004,Northwest
YT-09EB003,Northwest
YT-09FC001,Northwest
YT-10AB001,Northwest
