west,Region,Name
WA-12144000,Pacific_North_West,CPNW
WA-12145500,Pacific_North_West,CPNW
WA-12147500,Pacific_North_West,CPNW
WA-12147600,Pacific_North_West,CPNW
WA-12167000,Pacific_North_West,CPNW
WA-12175500,Pacific_North_West,CPNW
WA-12178100,Pacific_North_West,CPNW
WA-12186000,Pacific_North_West,CPNW
WA-12189500,Pacific_North_West,CPNW
WA-12447390,Pacific_North_West,CPNW
WA-12451000,Pacific_North_West,CPNW
WA-12488500,Pacific_North_West,CPNW
WA-14216500,Pacific_North_West,CPNW
WA-14222500,Pacific_North_West,CPNW
WA-14236200,Pacific_North_West,CPNW
WY-06188000,US_Rockies,USRM
WY-06221400,US_Rockies,USRM
WY-06224000,US_Rockies,USRM
WY-06278300,US_Rockies,USRM
WY-06280300,US_Rockies,USRM
WY-06309200,US_Rockies,USRM
WY-06311000,US_Rockies,USRM
WY-06622700,US_Rockies,USRM
WY-06623800,US_Rockies,USRM
WY-06632400,US_Rockies,USRM
WY-09210500,US_Rockies,USRM
WY-09223000,US_Rockies,USRM
WY-13010065,US_Rockies,USRM
WY-13011500,US_Rockies,USRM
WY-13011900,US_Rockies,USRM
WY-13018300,US_Rockies,USRM
WY-13023000,US_Rockies,USRM
YT-09AC001,Northwest,Northwest
YT-09BC001,Northwest,Northwest
YT-09FC001,Northwest,Northwest
